"","Año","Semana_Epidemiologica","Casos_Barranquilla","Casos_Cartagena","Casos_SantaMarta","HR_Barranquilla","HR_Cartagena","HR_SantaMarta","TM_Barranquilla","TM_Cartagena","TM_SantaMarta","PT_Barranquilla","PT_Cartagena","PT_SantaMarta","BAQ_max_temperature","BAQ_min_temperature","BAQ_avg_temperature","BAQ_avg_specific_humidity","BAQ_avg_relative_humidity","BAQ_total_precipitation","CTG_max_temperature","CTG_min_temperature","CTG_avg_temperature","CTG_avg_specific_humidity","CTG_avg_relative_humidity","CTG_total_precipitation","SMR_max_temperature","SMR_min_temperature","SMR_avg_temperature","SMR_avg_specific_humidity","SMR_avg_relative_humidity","SMR_total_precipitation"
"1",2008,29,NA,NA,NA,NA,NA,NA,29.2333333333333,28.0571428571429,26.9928571428571,27.7,19.3,36.5,28.96,24.23,26.31,18.4042857142857,86.34,36.27,29.38,23.83,25.9657142857143,18.4928571428571,88.4657142857143,59.89,21.97,16.61,19.1228571428571,14.0928571428571,87.2957142857143,48.78
"2",2008,30,NA,NA,NA,NA,NA,NA,27.7928571428571,28.7428571428571,29.0142857142857,1.3,17,0.9,30.02,26.33,27.8,19.1885714285714,82.3514285714286,26.09,30.33,24.55,27.2585714285714,19.62,86.9428571428572,34.83,22.82,16.93,20.1985714285714,14.21,82.2228571428571,29.88
"3",2008,31,NA,NA,NA,NA,NA,NA,27.4357142857143,28.4357142857143,28.2857142857143,48.3,10.5,41.7,29.46,25.08,26.8928571428571,19.3114285714286,87.4357142857143,30.61,29.27,24.34,26.33,19.0042857142857,88.9042857142857,53.67,22.24,16.77,19.7385714285714,14.5328571428571,86.4685714285714,31.1
"4",2008,32,NA,NA,NA,NA,NA,NA,27.6428571428571,29.3357142857143,28.7714285714286,2.3,25.1,0,29.99,25.29,27.6828571428571,19.49,84.1028571428571,13.42,31.18,24.58,27.0942857142857,19.57,87.4028571428571,25.65,23.52,17.74,20.22,14.6285714285714,84.4514285714286,36.59
"5",2008,33,NA,NA,NA,NA,NA,NA,26.6857142857143,27.7285714285714,27.2571428571429,89.6,120.5,10.2,29.28,24.28,26.5985714285714,18.92,87.1957142857143,81.47,29.94,23.65,26.1814285714286,18.8371428571429,88.9785714285714,104,22.19,15.89,19.4557142857143,14.4328571428571,87.5942857142857,84.86
"6",2008,34,NA,NA,NA,NA,NA,NA,26.7416666666667,27.9571428571429,27.2857142857143,62.4,64.6,19.5,29.76,24.16,26.2742857142857,18.4328571428571,86.6242857142857,62.66,29.05,23.62,25.9042857142857,18.43,88.4542857142857,98.82,22.53,16.61,19.2742857142857,14.4457142857143,88.4885714285714,58.22
"7",2008,35,NA,NA,NA,NA,NA,NA,26.525,28.2428571428571,27.4714285714286,73.2,11.5,130,29.14,24.48,26.34,18.5485714285714,86.76,57.29,28.95,23.8,25.9771428571429,18.4642857142857,88.21,50.41,22.35,15.89,19.1685714285714,14.1514285714286,87.4685714285714,87.08
"8",2008,36,NA,NA,NA,NA,NA,NA,27.0785714285714,28.95,28.775,60.7,7,113.8,30.22,24.58,26.7542857142857,18.8014285714286,85.7828571428571,41.43,30.4,24.14,26.4642857142857,18.7371428571429,86.9457142857143,40.46,23.41,16.47,19.8328571428571,14.4642857142857,85.6271428571429,59.33
"9",2008,37,NA,NA,NA,NA,NA,NA,27.7357142857143,29.4857142857143,28.9785714285714,28.4,25.7,6.4,30.66,25.11,28.1728571428571,19.8914285714286,83.5328571428571,32.89,30.73,24.51,27.4642857142857,19.94,87.19,34.09,23.63,16.76,20.3742857142857,14.6942857142857,83.8771428571429,56.98
"10",2008,38,NA,NA,NA,NA,NA,NA,26.7857142857143,27.7428571428571,27.9785714285714,58.3,58.6,6.5,29.7,24.34,26.6814285714286,18.9728571428571,86.9742857142857,74.2,29.58,23.72,26.2471428571429,18.8785714285714,88.7457142857143,112.42,22.95,16.92,19.6228571428571,14.4928571428571,86.9514285714286,88.67
"11",2008,39,NA,NA,NA,NA,NA,NA,27.2857142857143,28.4785714285714,28.3785714285714,68.8,27.7,0.7,29.69,24.36,26.8642857142857,18.7871428571429,85.2585714285714,23.35,29.93,24.02,26.5171428571429,18.7485714285714,86.7671428571429,37.9,22.57,15.72,19.5457142857143,14.2985714285714,86.2685714285714,53.78
"12",2008,40,NA,NA,NA,NA,NA,NA,27.2904761904762,28.3285714285714,27.4428571428571,82.6,24.8,8.5,29.22,24.45,26.2128571428571,18.5514285714286,87.49,104.84,28.93,23.73,26.0042857142857,18.6785714285714,89.0728571428571,115.08,22.13,16.66,19.3185714285714,14.3557142857143,87.6828571428571,91.07
"13",2008,41,NA,NA,NA,NA,NA,NA,26.5238095238095,27.7107142857143,27.3285714285714,28.5,7.5,58.7,29.58,24.17,26.07,18.2957142857143,87.0242857142857,82.36,28.92,23.46,25.6785714285714,18.2485714285714,88.7414285714286,87.34,23.09,16.53,18.9542857142857,13.8657142857143,86.87,65.4
"14",2008,42,NA,NA,NA,NA,NA,NA,27.2904761904762,28.4142857142857,27.4857142857143,22.4,19.7,26.7,29.41,24.04,26.4328571428571,18.4371428571429,85.9028571428571,33.47,30.25,23.53,26.23,18.3614285714286,86.5714285714286,28.37,23.01,16.85,19.2528571428571,14.1128571428571,86.76,45.6
"15",2008,43,NA,NA,NA,NA,NA,NA,27.3142857142857,28.45,28.2642857142857,78.8,55.6,3.4,29.43,24.66,26.8871428571429,19.2,86.9671428571429,28.31,29.23,24.21,26.5214285714286,19.1614285714286,88.6057142857143,73.17,22.8,16.84,19.8414285714286,14.6542857142857,86.6357142857143,61.74
"16",2008,44,NA,NA,NA,NA,NA,NA,27.8722222222222,28.6321428571429,28.4357142857143,0,34.2,31.7,29.19,24.73,26.9671428571429,19.0557142857143,85.8685714285714,24.93,29.5,24.45,26.5571428571429,19.16,88.3857142857143,23.56,22.54,17.76,19.7785714285714,14.7557142857143,87.7571428571429,34.58
"17",2008,45,NA,NA,NA,NA,NA,NA,NA,27.4928571428571,27.3714285714286,NA,77.6,13.7,28.82,23.39,25.6742857142857,18.1685714285714,88.4971428571429,91.88,28.36,23.64,25.4685714285714,18.1957142857143,89.6057142857143,88.34,22,15.92,18.7257142857143,13.9585714285714,88.6414285714286,71.78
"18",2008,46,NA,NA,NA,NA,NA,NA,NA,28.7785714285714,28.2428571428571,NA,0,0.1,29.35,24.32,26.7385714285714,18.6857142857143,85.2285714285714,4.76,29.8,23.47,26.3714285714286,18.6557142857143,86.9942857142857,6.26,22.34,15.98,19.3871428571429,13.9742857142857,84.9814285714286,19.68
"19",2008,47,NA,NA,NA,NA,NA,NA,NA,27.5357142857143,27.0285714285714,NA,152.8,24.5,28.33,24.04,25.9814285714286,18.2742857142857,87.2557142857143,49.92,28.69,23.78,25.5471428571429,18.3914285714286,90.0185714285714,68.37,21.85,16.75,19.0471428571429,14.3628571428571,89.47,53.02
"20",2008,48,NA,NA,NA,NA,NA,NA,NA,26.6928571428571,26.5714285714286,NA,75.4,17.5,28.32,23.47,25.68,18.2414285714286,88.7114285714286,86.85,28.89,23.29,25.3585714285714,18.2571428571429,90.4685714285714,107.3,21.91,16.92,18.8442857142857,14.26,90.0157142857143,112.11
"21",2008,49,NA,NA,NA,NA,NA,NA,27.5416666666667,28.2,27.4214285714286,0,3.4,0.6,28.44,24.11,26.4528571428571,18.0728571428571,84.1871428571429,18.37,29.45,23.17,26.1785714285714,18.2014285714286,86.0985714285714,7.96,21.58,16.39,19.14,13.9657142857143,86.6371428571429,45.37
"22",2008,50,NA,NA,NA,NA,NA,NA,27.2214285714286,27.7785714285714,27.2928571428571,0,0,0.1,28.91,25.12,26.8342857142857,17.77,80.6957142857143,16.24,29.96,24.69,26.7585714285714,18.0542857142857,82.5014285714286,14.78,22.07,16.14,19.2814285714286,13.6828571428571,84.2014285714286,17.85
